sub_sector,total_companies,total_market_cap,avg_market_cap,filtered_median_pe,filtered_weighted_avg_pe,min_company_pe,max_company_pe,avg_yoy_q_earnings_growth,avg_yoy_q_revenue_growth,weighted_max_drawdown,weighted_rsd_close,median_yield_ttm
Basic Materials,109,2373408163632292,21774386822314.6,7.42242851626871,-200.076799329236,-700.535520541924,577.136256929162,-0.420050066507874,-0.0469983783680152,-0.372126509503462,0.282745152102234,0.0201508014623172
Apparel & Luxury Goods,24,16356236912895,681509871370.625,-1.08131244186605,4.31054934023055,-58.3596660572472,84.8511840858865,-0.850532310196072,0.13597028156861,-0.310427814569266,0.12776207353794,0.0161403508214226
Automobiles & Components,18,102408255044095,5689347502449.72,11.8617473566494,21.0604879710938,-235.256515700987,52.3681166446421,-0.036370756121135,0.086153818015901,-0.402222755562338,0.194723421399222,0.0359627336977643
Consumer Services,52,69584871205376,1338170600103.38,10.5774727943941,126.067423174823,-906.539040207041,2682.50017817348,3.17963807028387,0.324116401272453,-0.377126542305348,0.175789110391884,0.0358047697831906
Household Goods,14,4454249261056,318160661504,11.7189031796254,15.1280987069643,8.89431242205567,29.9442614360502,0.447207269558446,0.0651014785304759,-0.482397236721245,0.193954417779647,
Leisure Goods,4,3358603929600,839650982400,-10.9151186811723,-23.048826438093,-45.4637895881385,23.6335522257938,-1.02743713591012,-0.813018814145874,-0.173945578094219,0.0844918027138493,
Media & Entertainment,18,99242006788096,5513444821560.89,5.08888395486021,170.689219304974,-66.5836893298059,331.909992418225,4.4409138066728,0.0204426869276683,-0.474854160409363,0.159838526759722,
Retailing,30,110182453547008,3672748451566.93,8.87291806536897,22.8215649087454,-83.8262294146443,638.322980008591,-0.669767867072631,0.181147562726652,-0.306630121369065,0.100765085831979,
Food & Beverage,97,730124262336247,7527054250889.15,12.0522722223698,67.2495158499389,-510.861137310887,383.665383655701,1.64581193613338,0.0893805441675464,-0.232208138688813,0.0867316323574594,0.018184702738811
Food & Staples Retailing,14,152028122697728,10859151621266.3,7.68828534447467,29.3972859935521,-9.91433789493566,33.1647873225687,0.0513933976843577,0.079388248911413,-0.176002943775494,0.0498319453019412,0.0326086956521739
Nondurable Household Products,12,108628635054080,9052386254506.67,22.4936629303231,21.4618403768623,-18.4690709519711,74.080765464844,-0.238105877285874,-0.065307287998086,-0.416647173160082,0.135420161518997,0.0156048780487805
Tobacco,4,107988914110464,26997228527616,9.61456390666794,9.859232638891,4.05045722638419,10.0934967289749,-0.714838610806451,-0.376526002832658,-0.384369446807111,0.113266003918498,
Alternative Energy,2,261974237184,130987118592,18.0637124043424,,,,,,-0.151918358030961,0.0870822022467042,
"Oil, Gas & Coal",85,1471877406212096,17316204778965.8,7.73052274025325,38.6445749897859,-866.113486510954,191.033461864026,-0.432146688751819,0.19780246841389,-0.30304184551618,0.14034211352265,0.0769230769230769
Banks,47,3404879330869248,72444241082324.4,15.5230267465494,29.8924447713599,-69.5881096495762,1239.27904308097,0.0727441616330327,0.0145109376611504,-0.238180940629945,0.0787839358576832,0.0548268896197113
Financing Service,15,43800321019904,2920021401326.93,9.55788321735478,18.0554736774837,-9.14125345221743,328.803697342727,0.094482829958917,0.0616685306416414,-0.296673978080832,0.101955535816517,0.0450152740811684
Holding & Investment Companies,19,242625718087680,12769774636193.7,39.4856330983061,126.166969267042,-76.9795942463712,453.106789907549,0.170011687393608,0.178919094961902,-0.272972404674013,0.0761519405461197,1.10091744076221E-05
Insurance,18,38846244454400,2158124691911.11,8.05578863866972,52.40766678854,-2.51126860302648,345.909749638884,0.771635297663593,3.14842279911546,-0.268333759841281,0.087915471212867,0.0549146464044564
Investment Service,6,9567305031680,1594550838613.33,10.2696650658226,58.3793258384419,-4.99063175261842,113.744079039362,4.24158736972819,1.5494681766708,-0.254752725154062,0.0700978752084735,0.0621428571428571
Healthcare Equipment & Providers,21,156574853496832,7455945404611.05,34.1241471515374,-206.603727989603,-1387.85255038455,957.742284906541,0.551222176475672,0.210438939873319,-0.33750845655973,0.175719252214539,0.0166666666666667
Pharmaceuticals & Health Care Research,13,126282713468928,9714054882225.23,10.9764129328526,20.6823230172546,-10.42943041312,25.0756254792983,-6.60628136518068,0.100719250856151,-0.274974435079409,0.107463507012543,0.0261398176291793
Industrial Goods,40,143969557607424,3599238940185.6,6.66610561236871,10.6508026185375,-6.91494342348094,167.344205002354,0.133569774385993,-0.00379765084038096,-0.280167674963474,0.0967373809917681,0.0397926869476915
Industrial Services,21,9407959332864,447998063469.714,6.94709191280368,8.85651962935966,3.33451575462285,14.8252152275624,8.57891391013726,0.0542222738809037,-0.367676873163255,0.154514130549433,0.0364233368230703
Multi-sector Holdings,5,195312772407296,39062554481459.2,13.6077338030486,6.16683372512917,-0.948023220536394,16.6988233592092,0.00464698196109513,-0.0139445776178831,-0.384105342803063,0.122436653079176,0.0212581344902386
Heavy Constructions & Civil Engineering,29,40331712646144,1390748711936,5.96907160091038,12.0675274467716,-4.52714517263475,64.6101282937852,-0.500509330613545,-0.0708565763337606,-0.396617905214509,0.209855763851141,0.0505952380952381
Telecommunication,23,627203164389376,27269702799538.1,17.6263542125849,26.9755856971347,-8.24184476229211,570.331085851904,-1.15168317026998,0.0464284663790236,-0.300550374797447,0.0984021673959311,0.0100748434876751
Transportation Infrastructure,9,60782112342016,6753568038001.78,7.73962560001785,4.72891001580776,-33.4277476061574,72.6505622327569,1.41622974883603,0.266318836379722,-0.19728417656371,0.0979964835676584,0.0233910000267637
Utilities,9,1168194893459456,129799432606606,17.2225737727531,756.413516777039,-21.2986658917896,801.660973694339,0.0205624447184456,0.0160595694468859,-0.454131842138208,0.293274202982386,0.022572306238494
Properties & Real Estate,92,245124409012224,2664395750132.87,6.22930673883631,58.9690187304727,-392.036021310467,1477.43891461683,1.08735432915749,0.150008749796587,-0.311473539668018,0.123673820327218,0.0516071424313954
Software & IT Services,36,260655802247168,7240438951310.22,-1.52409609744432,61.5669297539775,-176.627260094363,271.818337478821,0.0447872666696861,0.0607972688942554,-0.413282574842907,0.153599599523283,0.0764285714285714
Technology Hardware & Equipment,11,16600963723264,1509178520296.73,18.613148773912,24.8967818756307,7.13263717526935,95.6223859620703,0.0109025262479604,0.125278075812039,-0.275361545206687,0.115258196514419,0.0322945205316152
Logistics & Deliveries,25,23728313169920,949132526796.8,8.62457430198798,10.9201091485849,-2.53701542606949,25.4173617018484,-0.0840684822879382,0.0322231563330056,-0.44946157315657,0.161501356488697,0.0224299642211157
Transportation,12,11902793986048,991899498837.333,5.79072531833073,10.4948959111908,-13.7410279508615,31.8778331105459,-2.4467412429071,0.184678523253665,-0.502611434261103,0.194010801453899,
